31447,3441456670.0,1,32271.0,373.0,97.0,10.0,24177.0,293.0,88.0,8.8,22.0,2.0,0.0,0.0,8.0,0.0,0.0,2.0
19670,3463380878.0,0,27120.0,330.0,85.0,9.0,28251.0,333.0,85.0,9.2,12.0,1.0,0.0,0.0,18.0,2.0,0.0,0.0
44677,3478425152.0,1,28142.0,298.0,92.0,9.4,22002.0,304.0,89.0,9.0,12.0,1.0,0.0,0.0,5.0,2.0,0.0,1.0
8313,3464286594.0,0,22458.0,370.0,85.0,9.2,27149.0,413.0,82.0,9.6,4.0,1.0,0.0,1.0,9.0,2.0,0.0,0.0
32753,3503013700.0,1,27448.0,378.0,80.0,9.2,24409.0,390.0,65.0,9.0,9.0,1.0,0.0,0.0,9.0,1.0,0.0,3.0
6324,3477510844.0,1,25852.0,300.0,91.0,8.8,29411.0,299.0,90.0,9.2,9.0,1.0,0.0,1.0,15.0,2.0,0.0,0.0
28575,3488619312.0,1,33215.0,332.0,81.0,9.8,25152.0,282.0,72.0,8.6,23.0,2.0,0.0,1.0,8.0,1.0,0.0,1.0
25974,3496509805.0,1,31355.0,313.0,65.0,9.2,23352.0,275.0,88.0,8.6,19.0,1.0,0.0,0.0,8.0,2.0,0.0,3.0
47332,3354163198.0,0,25434.0,366.0,68.0,9.2,25541.0,353.0,95.0,9.2,10.0,2.0,0.0,1.0,7.0,1.0,0.0,1.0
45523,3476093654.0,1,28972.0,338.0,88.0,9.8,26934.0,312.0,80.0,9.2,14.0,1.0,0.0,1.0,12.0,0.0,0.0,1.0
24267,3463586262.0,0,24852.0,332.0,85.0,8.6,24577.0,331.0,91.0,9.2,4.0,2.0,0.0,1.0,8.0,1.0,0.0,2.0
11195,3502392404.0,0,27668.0,352.0,75.0,9.0,26955.0,282.0,88.0,9.0,12.0,0.0,0.0,1.0,12.0,3.0,0.0,1.0
26719,3476191363.0,0,25007.0,333.0,88.0,9.4,24645.0,333.0,80.0,8.8,9.0,2.0,0.0,1.0,7.0,1.0,0.0,0.0
20635,3455261097.0,0,28830.0,336.0,94.0,9.2,26446.0,356.0,76.0,9.2,15.0,2.0,0.0,1.0,10.0,1.0,0.0,1.0
